clip_id,text,word_count,language,is_empty,is_very_short
clip_0010,"to help the rotation, it's high ground energy. So, push, push now, reset, you've got to switch it. Push. There's a feedback on balance, cross-quad balance. There's an increase in up the steer cross. Alright, it's helped.",37,en,False,False
clip_0011,"Either we just drop on the platform, we think it's tight, or we think it's something else. Is there anything else Dave? It's a very slippery path, so it's a good sign. I'm sorry, it was a second to everything else.",41,en,False,False
clip_0012,"just coming up on the flat there's less than a couple of tools gonna come up on one and a half hey what steady on the way out level four fleet, level four fleet go switch to out, go switch to out that's just a cheap",46,en,False,False
clip_0013,with mid six entry nine that mid six I'll track the home this is good out the box little bit of pushing behind,23,en,False,False
clip_0014,"Get 378, still high back. Level that in 4. Level that in 3. The push cross go up to 1. And you're 8. Now with you.",26,en,False,False
clip_0015,"Plus two on the back side, I get the action zero. I'm happy to repeat blue bar out of 14. I'm definitely pushing it forward, otherwise it's quite behind. Plus two now, so blue bar, to the left, blue back. Man, I do not understand this curve.",47,en,False,False
clip_0016,"It's just nice, it's just no port turning low. It's gone as you think it's going right now. How was the accommodation? It was hard to figure out what's going on, so I was tired, so I thought I'd be late this weekend.",43,en,False,False
clip_0017,got better got some working ball pushing quite otherwise quite behind out that preference would be to do the same again with the weaving yeah again,26,en,False,False
clip_0018,"I know, sorry guys, but I feel a bit lost with it. I'll just click on that one too. Tailwind gusting 106. Spokes. Okay, so just click on that one.",30,en,False,False
clip_0019,"Plus one, plus one on the black, we're gonna hold it in the box, plus one, reset, just gonna hold it in the box. And suck it for tires, so... Straight down, go switch that out. No pull, trouble turning, there's another behind. Cross three opening, the last...",48,en,False,False
clip_0020,"If you can't, you should be clear ahead. 16 seconds to piastry. The wider turning, the very wider turning at three. Nice hat things. Weeding at 11. So on and off. Big wheel at 14. Just guess you're going ahead.",40,en,False,False
clip_0021,"That's a plus two, man. That's a plus two, man. That's a plus two, man. That's a plus two, man. That's a plus two, man. That's a plus two, man. That's a plus two, man. That's a plus two, man. That's a plus two, man. That's a plus two, man.",50,en,False,False
clip_0022,"I'm on a squawk, not a steering dash. 17. Yeah, but... Full top on the straight, but the box has pushed me into the wall. Why are we so early as well? Box has a turning wheelie.",37,en,False,False
clip_0023,"and boss guys, P18",4,en,False,False
clip_0024,"Honestly, for me, we just need to...",7,en,False,False
clip_0025,Thanks for watching guys!,4,en,False,False
clip_0026,"After you switch off, wait 10 seconds and back to P2. Ok, make sure you look after your gaps, it exists, or we need a hard laptop, but easy on power.",31,en,False,False
clip_0027,and,1,en,False,True
clip_0028,"Yeah, it's the same for everyone. We have telemetry on the radio hall.",13,en,False,False
clip_0029,"A bit info, position 11 and 14 on the grid. There was a little bit of dust.",17,en,False,False
clip_0030,good waving and then take it easy for rear-to-pass.,9,en,False,False
clip_0031,"We want to keep up the energy in the corners, but easy on boar.",14,en,False,False
clip_0032,"If you have an issue with tires, and you make a mistake or something bad happens on lap 1, we can convert to a build, push, call, push.",28,en,False,False
clip_0033,"The target is to stick to the plan, but just in case, that's available. I didn't hear the second part, what's available, what's the plan if things don't go well.",30,en,False,False
clip_0034,"We can do build a push-cool-push if the first lap we have a big problem with tires. The plan is to push on lap 1, but if you have a big problem, we can abort and convert to build on single...",41,en,False,False
clip_0035,"Yep, then. How long it took me? 50 seconds to go in, for your opinion, Tensu.",16,en,False,False
clip_0036,"And she talks. 20 seconds. 10 seconds. Remember your 8 seconds setting the line. We want a harder lap with breathing on braking easy on power. If we need to abort, we can do that with the sector. But the plan is to try to push the airship again.",49,en,False,False
clip_0037,"Weaving everywhere, happy weaving up to 26. Every point changes, but easier power. I have no budget for Pera. Understood, I keep your postage. Porto leto ten red, possibly be developed. B1 is all five. Charge off, keep up the weaving.",41,en,False,False
clip_0038,"I look at it to call it for everyone, I'll be down the virtual door, I'll keep the process. We need to sync 7 to 8 gear, offset 0, smooth in 1, position 10. That's a very low limit if you want to go to the belt. We try to push, we can about push.",55,en,False,False
clip_0039,"We have to push. Copy. Hold 6 pushing, charge on. Charge on now. We go for push, pull, push. Hold 3 pushing. Hold 3 pushing. Then you will come back out left. Hold 2, hold 3 pushing.",37,en,False,False
clip_0040,now okay let's go please,5,en,False,False
clip_0041,"Out of the 2nd position, just car pushing along the 6th We've got 13,000 slow-rotor turn 14 35 ahead, getting ready Along the 4th pushing, watch out along the pushing behind Along the 2nd point, 5th pushing Along the 2nd pushing",41,en,False,False
clip_0042,"It's charged on the line, higher RPM, Perez pushing two behinds. What's the thought for Perez pushing two behinds? Higher RPM. Perez now, cucumber two behinds. cucumber one, I think it's pulling down. You can give up some face front tires, higher RPM.",43,en,False,False
clip_0043,"Okay, man lost was turn 60, 10th to up x speed. It could be negative or the dash. Yeah, I didn't hear that, can you repeat? Losing 210 to turn 60. Man lost. It's 80 to speed exit from circuit.",40,en,False,False
clip_0044,Because 1 tenth on the hull 3 tenths and 3 minimum speed 3 tenths and 13th they take it 1 tenth Park lot 6th let me know what to do I'll be the first chef with your stability,38,en,False,False
clip_0045,"AutoNeli 4B and Outlast position is good. We push again, touch up. Payers move better for the next up. AutoNeli 4B and pushing. Your last time 35.0, Leon 34.7. AutoNeli behind Outlast you can keep the position. Keep the position.",40,en,False,False
clip_0046,"vision is good. Charge off, charge off. 32 gold from 1. Yeah, that's just box. Negative, negative. Stay out. Blue button, higher PM. We need to pass it for the next one. Albon pushing 2. Albon pushing...",37,en,False,False
clip_0047,"2 high RPM, Albon pushing 1 coming now, Albon pushing behind now. Watch for Albon. You can keep up the pace, Foxbox, but end up. Next car pushing is 8 behinds. Foxbox.",32,en,False,False
clip_0048,"I'm today with 4th looking from 6th nothing around it same for the other car what was the flap of it? Flaps okay, I'm happy to leave it like this Copy Box, box I'm in turn pushing 4th Box, box I'm in turn pushing 4.5th Box, box Watch for",49,en,False,False
clip_0049,"Hamid turn two behind, pushing Charge on, charge on, Hamid turn one behind pushing Wait for Hamid turn coming now Bad things not charging We have an issue, we are checking Work, work Watch your brief time, stop in front of the garage Carbide, we are checking",47,en,False,False
clip_0050,the,1,en,False,True
clip_0051,"So, Abit, we can do pushtoggle.16, what do you think?",10,en,False,False
clip_0052,"Yeah sure, just switch to lap 1 and turn 6",10,en,False,False
clip_0053,"Yes, and we did not in the second, I think it's better with the potion.",15,en,False,False
clip_0054,"We will return to the base. One, three. Lastly pushing on the main straight. Lastly pushing three. Lastly pushing one. Lastly coming down. Watch out. Don't watch the space behind. Head down for the other side.",36,en,False,False
clip_0055,"power weaving. And if the gait is going through now you are overtaking. No one pushing behind, position is good just to manage the gap to gait and the gap. Unscopeion traffic for maximum fun. On Abidou we see a high strativo so we just need to",47,en,False,False
clip_0056,"The left, the left, one with the coast. Remember to manage your gap with gas in this. Remember we're going back straight on foot speed last corner. Keep the point you can control, there are no trucks. Out of the zero. Copy on track.",44,en,False,False
clip_0057,"traffic from maximum time we have 2 cars slow in the last sector after clearing it up we will have traffic exit 314 no one pushing behind keep the position ok push that corner just in 4 with opening copy on traffic just in 3, 0 opening",47,en,False,False
clip_0058,"GASP going, and the other side toggle, good to go. Okay, we just need to fill up with the materials. On the line, slow button, higher PM, A-view stop was full higher PM, and that was the bad case issue. Careful not to go into the rev limiter, always don't keep it. Higher PM, but not to the rev limiter.",60,en,False,False
clip_0059,"Ok, good job, we are safe. Stay negative on your wings. Yes, of course. Yeah, I thought I got more grip on our lap. Ok, copy that. We think we are mid-touching all the tires. We have a thing for the next startup. We'd like to be of different. Yeah, copy.",51,en,False,False
clip_0060,I can also take a small step more flat What's your point of view? What's your point of view? What's your point of view? What's your point of view? What's your point of view? The only filter I have is the 36 Now we are over the limit,48,en,False,False
clip_0061,"with the front and rear zips. What did we find? What did we find? You were saying we locked both axles in the entry phase. Yes, I think we were above both front and rear on the entry.",38,en,False,False
clip_0062,"We still gained the overlamp, but we were out.",9,en,False,False
clip_0063,"very much do it in it. Yep, so you recommend staying shape 3.",13,en,False,False
clip_0064,We can take shape too if you break earlier.,9,en,False,False
clip_0065,"Easy on power, you have Hamilton pushing on the line. Hamilton coming next to you now pushing. Next car 14. OK, next car has just 13 behind, you will be pushing. The audition is good. Easy on power, and then we can work on braking on front.",47,en,False,False
clip_0066,"We have had your pushing 10, but we have put the attitude in this course. At your 10, there is 20, so push it. The lead is at the face for the front tires and the weaving. We would like reading on the second half of the back straight and quarter in the last corner. At your pushing 10.",59,en,False,False
clip_0067,1.5 I just push in 3 ok what's the score? is that 2 behind pushing? is that 1.5 coming now? ok next one no risk no risk 7 pushing start off offset 0 tp 1,35,en,False,False
clip_0068,"One position 10. There is 5 pushing. Of the 0, 2 TD, 1 position 10. There is 3 pushing. Weaving second half. Make sure you let there is 5 so we can push the last corner. There is 2 pushing. There is 1 coming now. There is no pushing. There is behind you no pushing.",55,en,False,False
clip_0069,"I'm going to start to go long. Good test as far now. Good job. Okay, we'll manage. Head down. That was great. Slow vote on, higher PM. Yeah, shit, last sector. Oh, yeah, I can make a step. Yeah, see you later.",42,en,False,False
clip_0070,"That's currently P12, 10 negatives. The wind is a bit more gusty now, information, wind more gusty on that top. The wind is a bit more gusty now, 10 negatives. That's now P12 on the guide. Watch what we're doing.",40,en,False,False
clip_0071,"Hot tap was good. Only correction if you try to avoid the stop exit last corner. Hot tap marche. So it's 20 milliseconds to liam on 10-6 main limitation. We have a look. Oops, oops, sorry, I'm sorry. Happy no-clap at your target. We maximized the score.",47,en,False,False
clip_0072,"I say to a tiny step, the tiniest one you can. Box, box, box. Watch your bridge right. Ok, I've hit the shimmer button 14, that was a very good lap. And we have a look at 10.6, the only place we are losing compared to Lille.",47,en,False,False
clip_0073,"I'll be able to show the main loss is 26 against Liam, we lose 1-10 in there. I still see some instability mid-corner. What do you think of using push toggle there?",32,en,False,False
clip_0074,"Yeah, sure. If that's not gonna hurt the front locking then fine.",12,en,False,False
clip_0075,"And loop it on off, charge on, multi v1, position 13.",11,en,False,False
clip_0076,Do you think we could take the porto goal for turn nine? What do you think?,16,en,False,False
clip_0077,What's the step I need to Q2 at the moment? To Q3.,12,en,False,False
clip_0078,"It's a 52610 focus rate, 52610.",6,en,False,False
clip_0079,"Let's give it a feel up and go with the track ever. Okay, good job we have other steering. Track will be clear. Remember, we open to the safety current and then we'll take a bit of free. Track is clear. The condition is very good. Auto at the 5.",50,en,False,False
clip_0080,"Stick. Very good. Same on left, please. Easy on power. A bit of breathing. We focus second half of the straight and last half. We have a little time ahead. The absolute behind.",33,en,False,False
clip_0081,"After that, we start off, put the one, put the second, put the third, put the third in the head, and we are set to be on. Listen, it's very good. Off, set zero, and we're leaving second half of the train, to put up in the last corner, but keep the pace of the corner.",56,en,False,False
clip_0082,"We might just lift the button, see for turn 1. We take that corner, right on. W, left corner. Turn on high RPM. Time to go again. Negative. Yeah. Yeah, I fucked up.",33,en,False,False
clip_0083,"It's a 12 other than that the lap was good. Negative on the dodge. Yeah, that's what you're talking about. OK, thank you for being on the face, please. Negative on the dodge. Can you get some face, please? Thank you. OK.",42,en,False,False
clip_0084,"He is in front of the head, sector 1 on half a dance behind sector 2. Fox, Fox, why do you breathe like this? I will revise the approach in turn so I can point out the term. There are a few ideas. Fox, Fox. Why do you breathe like this? I think it's because of the price.",58,en,False,False
clip_0085,"Okay, if we can't wait to plug the car, then we have a quick chat on Unit to go get away.",21,en,False,False
clip_0086,Thanks for watching guys!,4,en,False,False
clip_0087,Let's go. Now we have to turn Q of 1.32 please. So we have 2.32 more product coming.,18,en,False,False
clip_0088,"I can also do something back. Great position 10 and 14, so that's right hand side. That's been some roll and he put some powder to clean it so you might see marks of it.",35,en,False,False
clip_0089,"Okay, let's try, give me a good feedback on the build up about the wind.",15,en,False,False
clip_0090,"Second, powered up one minute.",5,en,False,False
clip_0091,"Okay, I'm just on the track position. I would like to hold position where we are. Let's do it.",19,en,False,False
clip_0092,"2, 1, all the tank contents please The FHC2 cap We are controlling the second action Cut down the stack Second This is the end of the second This is the end of the second All the tank is moving",40,en,False,False
clip_0093,"I can feel Kaliak trying to merge, she is not allowed to I'm screening 14 So we're building 4 Kaliak merge Give you the countdown BitGalax 7 6 5 4 3 2",32,en,False,False
clip_0094,"one, two, three, four, six, five, six, six, five, six, six, five, six, seven, eight, nine, ten, ten, ten, ten, ten, ten, ten, ten, ten, ten, ten, ten, ten, ten, ten, ten, ten, ten, ten, ten, ten, ten, ten, ten, ten, ten, ten, ten, ten, ten, ten, ten, ten, ten, ten, ten, ten, ten, ten, ten, ten, ten, ten, ten, ten, ten, ten, ten, ten, ten, ten, ten, ten, ten, ten, ten, ten, ten, ten, ten, ten, ten, ten, ten, ten, ten, ten, ten, ten, ten, ten, ten, ten, ten, ten, ten, ten, ten, ten, ten, ten, ten, ten, ten, ten, ten, ten, ten, ten, ten, ten, ten, ten, ten, ten, ten",112,en,False,False
clip_0095,"Moving. 13,000, we need to cut the signal. And about a half second push. On, off. I'll wait for 11,000, 36. Alex, far ahead. You're going to have to kill. You have to push.",34,en,False,False
clip_0096,"Good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good",112,en,False,False
clip_0097,"1.9 I'm going to make up the gap at 9.11 Head of noise, oxygen moving Next building up Well, so I'm going to make up at 11.5 I'm going to open, right side at 5",35,en,False,False
clip_0098,"13th boost, SLM, off, on, off 2nd cut, 2nd open 3rd behind 2nd cut, 2nd open 2nd cut, 2nd open, Alex, go ahead Here you have a gap to Alex, or is 2 behind 2nd cut, 2nd open, 1nd cut, 2nd open, only Alex, he's going for it, Alex, up",50,en,False,False
clip_0099,"4, 5, 4, 4, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5",223,en,False,False
clip_0100,"of 186 Alex 3545 back on flap and in turn readiness for Q-brakes Yeah, turn limited in turn 12 and then 7th number for turn readiness",26,en,False,False
clip_0101,"So, I need a bit of pull up and maybe the different teeth for the one. First one. Just do half, I'll let you do the teeth. Okay, first one. I will need this for the big one. It was okay, it died. 90.",44,en,False,False
clip_0102,98 it's ok,3,en,False,False
clip_0103,"A QPREX, AXE was flat at 7K. 10K, 7K. And the temp is at 0. I think it's around 60ms. Level 4, please. No, it's about flat. That was good. Focus on these front tires.",35,en,False,False
clip_0104,"7 is all pretence So I'll be short of AC2 with the countdown 6, 7, 6, 5 Where else? 3, 2, 1 scenery head go out, go out with the berg on the push number 5",36,en,False,False
clip_0105,"Probably, Alpha 10 to 10, exit at 13. Camber 4, exit at 26, focus on driving, Camber 3. And 11 seconds here, Camber pushing 2. And 1, then Camber, go 1000, sink, closer pushing 5.",35,en,False,False
clip_0106,"focus on your front tire, weaving into 11, Russell pushing 4, Russell 4, good weaving into 11, Russell 3 it did 13 boosts the element on off, so weaving Russell 3, 2, 1, with you",35,en,False,False
clip_0107,"Fabian in sync, go 5 seconds, push the celeb on off, focus on moving, hoping you'll have any queuing for opening your lap. FAT 3, see the second gear, FAT 3, see the second gear. The head is open, I'll see you at the end of the build.",48,en,False,False
clip_0108,"Then you go push Wind, then as good one OK, something Turn on, a lot of dirt here Continue, continue Continue, continue Not for the lap, learning some Look behind the rest of the lap Then it's quicker than Alex",40,en,False,False
clip_0109,"Just that traffic, the rest of the lap was quicker than Alex, Alex 35.1, MOTA 66, RLAP, work the brakes, feedback on the lap. OK, I'll do this lap. OK. First stop pushing will be just in case.",38,en,False,False
clip_0110,"I will do it please. Probably difficult because of... Difficult of... I cannot tell. I can't tell. Just a few. Just a few squads. Three. Three. Stop at 11. Sorry, we're doing with timings.",34,en,False,False
clip_0111,"We're good, we're not farming, go off time. We're not farming. Fox, Fox, don't plafage on the next end. Work hard to break the tree. And to the pit there with crack for map. Have a go hard please.",39,en,False,False
clip_0112,"go out, we're going to break through the plane there will be no hold just slowly on the wall slowly on the wall but no hold I would like to save again make your gap 3,4,3,2 fill your gap now",40,en,False,False
clip_0113,"Feel the gap, feel the guys first up and head, I'll let you know they cannot first up and 7, 6, 5, 4, 3, Now there's the high-speed, I have no power 1, ok There we can exit, it's power ok Yeah, how is it? Packing",46,en,False,False
clip_0114,"So do your lap Go back ahead of you You're on a slow lap, you can push through with two heads Just happen to be in sync with you Good focus on the robot for the full axle and waving 15 was improved, 10-11, 15 was ok Just happen to send a head",53,en,False,False
clip_0115,"Nice, Bulkhorn, 9th of head is on the slow. Forecast open ahead of you. Bulkhorn, 9th of head, slow. Off and behind. Yeah, man, I'm gonna be a new with this slow race on the slow lap. 13, 5th of gun, push down the road. 5th of gun, boost. Set the horn off.",53,en,False,False
clip_0116,4 cars to open LK7 head 3 cars to open wind speed 10.4 3 cars to open 4 cars to open 5 LK2 open LK3,25,en,False,False
clip_0117,"I'll put the cap, 23, 24, 35 Make sure to go push I'll put it there to let's push The rear touch-collef, that's good It's good improvement, good improvement Okay, that's 14, he's 14",34,en,False,False
clip_0118,"5,000, we put the truck for the hour, please, 4 cars OK Just Alex was 348, that's a good lap, strong lap, the 315 3 cars, that can be 2, 2 cars, that can be 2",36,en,False,False
clip_0119,"I can't see you I can't see you I can't see back on flap not behind I'm happy with flap He's 16th, still Porto Leto close his lap Okay, that's P17 Porto Leto P2 and I'm third of us, Lothon 34 from 1",43,en,False,False
clip_0120,"slow it, slow it yeah, it was a good lap, good improvement strong throughout all the way FITPALZAN especially in the last section of the lap in turn 6 as slow as you can please closer to the left, get minus 1 on your tarmac please it was a good lap",51,en,False,False
clip_0121,That's all the cars in it. That's back in our local community. Thank you. Let's say they put my nearest pool. The improvement would have been close in the last day of the tournament. And I've been 36. Check if there was a gust. They had a lot of fun looking.,51,en,False,False
clip_0122,Take a peek,3,en,False,False
clip_0123,"and you want back to B2 and right-file instruction get the power point on your phone and you stop it ok go ahead just seat tight, VP17 if there is anything happen",32,en,False,False
clip_0124,Thanks for watching guys!,4,en,False,False
clip_0125,"Yeah, all good. Yeah, stop tired. So, quite a bit of a mix. Only two stop starters. Left hand and right hand. AP9.",23,en,False,False
clip_0126,around you a majority of other starter so we give you only the medium starter medium starter behind you both aspirates,21,en,False,False
clip_0127,"ahead, Lawson, Bermann, then.",4,en,False,False
clip_0128,The top 7 are all on medium.,7,en,False,False
clip_0129,"I'll bite and notice that was on hard, but he's not in the plane.",14,en,False,False
clip_0130,"So on you everybody on AARP, but lots of respect to KLSR8 and PermanentP10 and both cadillacs.",17,en,False,False
clip_0131,"Copy Ok Carlos, I'm in less than 2 minutes and one minute will power up",15,en,False,False
clip_0132,"Just with this majority of us that are around you, that promote a bit more.",15,en,False,False
clip_0133,"And now 1 bit fire, 1 second, 1 fire, 1 bit on and... Let's wait for it to be in North to North East. Try to hit strong anyway, 2.6. Okay. Okay, on. That's it. You still go start, no old breaths.",42,en,False,False
clip_0134,"10, 9, 8, 7, 6, 5, 4, 3, 2, 1 Okay, you go, go, go, go Some other tires I'm gonna show you a cap You go, I'll change the tires",31,en,False,False
clip_0135,I have a low speed I do a measure of 1 to 2 I'm just going to do 6 to 12 I'm going to manage the captain now I'm going to manage the captain I'm going to slow for the platoon I'm going to be the one to pass I'm going to be the one to... I'm going to be the one to... I'm going to make sure you have a captain on,73,en,False,False
clip_0136,You want to be too slow with low rpm. You have to pull the clutch in for a 10-inch orc as you do in the head of you. You have to shift the person to the top and push on the car really well. You have to be good to push and really slow.,54,en,False,False
clip_0137,"I'm going to go back here. I'm going to be 3 per knots. 3 per knots and then I'm going to start it. If you push low, it takes a bit of luck. 3 per knots, now. Left hand side 270.",41,en,False,False
clip_0138,From the last drop we like to flush two planes on the start Two more cars before We proceed here And that's the minutes we can start on the grid now Go ahead,33,en,False,False
clip_0139,go race go race go race go race when you can go race when you can that's kind of how you link,22,en,False,False
clip_0140,We are not racing him. We are not racing him. We are not just competing. We are not just competing. We are not just competing. We are not just competing. We are not just competing. We are not just competing. We are not just competing. We are not just competing. We are not just competing. We are not just competing.,60,en,False,False
clip_0141,"and turn 6 with the VTEC as well. OK, quickly to go. You still have all the VTEC. Terminal via non-medium with the VTEC as well. 1 on 1, and then you follow after turn 3. Contact easy, go up the end of this.",44,en,False,False
clip_0142,"You still have over tech, we are behind you as well.",11,en,False,False
clip_0143,"16th, German, you can back off, arm, start the steering, 5th, German, you can start the steering You want to go, S-Manage, turn 8, 4, Lighting, German, 4, 4th of you, with overtaking German, you can back off, arm, head down",41,en,False,False
clip_0144,"And then sliding down, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right",224,en,False,False
clip_0145,"10, ask for much, we need water Yeah, I know that, we take it We do not have over-tech, we perfect all The greening is getting bad now Turn right, management We should be meeting one, meeting one, we could present our service",43,en,False,False
clip_0146,"Okay, head top 49 to go. So we love of attack, you can make those knots. Use that advantage and manage your tires and stay with your comeback if you can.",31,en,False,False
clip_0147,"Sir. Purple button on. Purple button on. What's up, I need complexion 1. Closing time 848. Go. No. Total middle turn 1. Okay, perfect closing time. Total middle turn 1.",30,en,False,False
clip_0148,"I think I can make it to the top but not for Okay, I need to get the wheel thing on the flap I need to get the flap please Oh, okay",32,en,False,False
clip_0149,"Lift up, rock start, rock start To half, and then to flat And push, pull First lap racing, and then to the left And then last corner And then with you And then to Yellow flag ahead of U-turn 2",40,en,False,False
clip_0150,"Yellow flag can too. Then she's full stop, then 3. That's a 1.9 behind. Sector car, Sector car, so you go SC, go SC, work your front tires, front tires please. Yeah, I don't know what was the reason for that, it stopped when everyone in...",46,en,False,False
clip_0151,I think we should have done an opposite,8,en,False,False
clip_0152,I'm going to keep you up here.,7,en,False,False
clip_0153,"I heard of you there, I heard of you of Losort Perez, still on his major. He crossed a few walls, once I still respect the Delta, so the guy is ahead of the leader. He said, working your tires.",40,en,False,False
clip_0154,"Ok, and you can see that you are taking the S21 for a second time, so you are free to push with double yellow turn 2 and a button to press 2 seconds on your target, there is a partial off the button and you are free to push now, you are free to push double yellow turn 2",59,en,False,False
clip_0155,"I'm working on the tires, the virtue of the arms started has been reported on raining. Repeat please. The recording is very low, I keep saying it. Copy. I will just be louder, on set point. It's been reported on starter who are raining.",44,en,False,False
clip_0156,"... complete... ... squint 45 to go... ... 7 hours at the level you can push to catch. Copy. Repeat at this one lap, yes.",25,en,False,False
clip_0157,"We are on the road, all the hard-tired, straight on their arms. Currently, we have an unpaid entry along the position ahead of you and we prepare to make a new target for 6 and we are racing the B2 car. We think we are on the line 244.",49,en,False,False
clip_0158,"Go! And rest them! Set the gap in the lap. So you put your brakes on your tires. And you're gonna set the gap. And you're gonna leave a little bit. And you first guys, put that! So I can look at... How many laps to go?",47,en,False,False
